DOI,PubMed_ID,Year,Source_Title,Cell_Source,Recipient_Cell,Target_Protein,Max_Effect_Pct,Dose,Dose_Response_Curve_YN,Concentration_Range,ED50_or_IC50,Notes,Paper_Link
10.1002/1878-0261.13052,34213835,2021,Molecular Oncology,HEK 293T,sw480; HCT-116; sw480-lohp; HCT-116-lohp,CPT1A,53.58; 71.43; 35.72; 58.93; 67.24; 84.49; 36.67; 71.67,,N,,,,https://febs.onlinelibrary.wiley.com/doi/10.1002/1878-0261.13052
10.1016/j.cej.2021.129774,,2021,Chemical Engineering Journal,RAW 264.7 cells,MC38 cells,FGL1; TGFB1,,Exo/siRNA (10 μg exosome and 200 nM siRNA),N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104572809&doi=10.1016%2fj.cej.2021.129774&partnerID=40&md5=41569339dcb6582bcb9ae97d2b75ff03
10.3892/ijmm.2021.5041,34608501,2021,International Journal of Molecular Medicine,MSC,THP‑1 macrophage‑derived foam cells,LOC100129516; caspase‑3/ cleaved ccaspase‑3; PPARγ; LXRα; ABCA1,,,N,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8510681/pdf/ijmm-48-06-05041.pdf
10.1021/acsabm.0c01153,35014481,2021,ACS Applied Bio Materials,HEK293 ,H9C2 cells,RAGE,,,N,,,,https://pubs.acs.org/doi/10.1021/acsabm.0c01153
10.1089/nat.2021.0002,33999716,2021,Nucleic Acid Therapeutics,HEK293T,H596 cells; H1568 cells,survivin gene,,50 nM of siRNA concentration,N,,20 nmol/kg in vivo; 21 nmol/kg in vivo,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8591058/pdf/nat.2021.0002.pdf
10.1096/fj.202002777RR,33855751,2021,FASEB Journal,MSC,HSC,Stat3,,5ug/2billion iExo,N,,,,https://faseb.onlinelibrary.wiley.com/doi/epdf/10.1096/fj.202002777RR
10.1039/d1nr08170e,35133380,2022,Nanoscale,MSC,A549 cells,survivin,,,N,,,,https://pubs.rsc.org/en/content/articlepdf/2022/nr/d1nr08170e
10.3390/ph14090858,34577558,2021,Pharmaceuticals,Non-Pigmented Ciliary Epithelium cells,trabecular meshwork (TM) cells,B-caterin; GSK3B; SMAD7; TGFB2,,10ugEV + 10ug siRNA,N,,,,https://www.mdpi.com/1424-8247/14/9/858
10.1016/j.canlet.2019.02.011,30771430,2019,Cancer Letters,Milk Exo,A549 cells,KRAS,72,,Y,7(0 to 100 pmole/ml),,DR for cellular viability,https://www.sciencedirect.com/science/article/pii/S0304383519300837?casa_token=oIIJrRqKzOIAAAAA:plzOLZszOUoz2X718QqLwbgY2tG5RF2QQTrp0WXlW59KLm_paQWYXQjXYej_3ZmSzgS0rGQ
10.1111/cas.13488,29285843,2018,Cancer Science,HEK 293,SGC-7901 cells,HGF; VEGF,70; 42.21,,N,,,,https://onlinelibrary.wiley.com/doi/10.1111/cas.13488
10.1016/j.ymthe.2018.05.024,29937418,2018,Molecular Therapy,umbilical cord-derived MSC,primary murine cortical neurons,Huntingtin mRNA (siRNA Chol-C7); Huntingtin mRNA (siRNA Chol-TEG),62.44; 78.11,,Y,0 to 10^-6 M (7 point),,,https://www-sciencedirect-com.libproxy.lib.unc.edu/science/article/pii/S1525001618302570
10.1038/s41598-018-32953-7,30279553,2018,Scientific Reports,ginger,KB cells,survivin,,,N,"[0,80ug/ml]","NA for HEK293, 87.68ug/ml for RAW264.7, 98703 ug/ml for KB",The LD50 is for cellular vialbilty and not knockdown,https://www.nature.com/articles/s41598-018-32953-7
10.1016/j.jconrel.2019.08.021,31446085,2019,Journal of Controlled Release,HEK-293,KB Cells,Survivin,63,,N,,,,https://www.sciencedirect.com/science/article/pii/S016836591930505X?casa_token=evnc8TnGmosAAAAA:0BCdWKywdNtHzBtRvguFZag8xtXVSfhh2TMaCDerGjqbw_pfN0x34sm_pZPQdy-DZUFSLzw#s0035
10.1016/j.ajps.2019.04.002,,2020,Asian Journal of Pharmaceutical Sciences,HEK293T tLyp-1,A549 cells,SOX2 mRNA,68.3,,N,,,,https://www.sciencedirect.com/science/article/pii/S1818087619301424
10.1002/hep4.1462,32025612,2020,Hepatology Communications,fat free bovine milk,LCSC; Hep3B; HeLa,BCAT; Cyclin D1,,5 uM; 0.5uM,N,,,,https://aasldpubs.onlinelibrary.wiley.com/doi/epdf/10.1002/hep4.1462
10.1007/s11481-019-09895-6,31823250,2020,Journal of Neuroimmune Pharmacology,HTHU exosomes ,HTHU-HIV microglial cells,Tspan2; SDF-1 (down stream effect of Tspan2 silencing); CXCR4  (down stream effect of Tspan2 silencing); IL-13  (down stream effect of Tspan2 silencing); IL-10  (down stream effect of Tspan2 silencing),0.86; 83; 76; 80; 84,,Y,"10,20,40 pmol siRNA; 20 , 40 pmol of siRNA; 21 , 40 pmol of siRNA; 22 , 40 pmol of siRNA; 23 , 40 pmol of siRNA",,,https://link-springer-com.libproxy.lib.unc.edu/article/10.1007/s11481-019-09895-6
10.1007/s12010-018-2813-4,29951961,2019,Applied Biochemistry and Biotechnology,HEK293T,SKBR3 cells,TPD52,,100 μl (3 μg) of siRNA-loaded exosome,N,,,,https://link.springer.com/article/10.1007/s12010-018-2813-4
10.1016/j.isci.2019.05.029,31195240,2019,iScience,Umbilical cord MSC,primary neurons,htt,,,Y,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6562145/pdf/main.pdf
10.1038/s41551-019-0502-4,31937944,2020,Nature Biomedical Engineering,NSC-34 cells,NSC-34; Neuro2a; BV2,GFP,,,N,,,,https://www.nature.com/articles/s41551-019-0502-4
10.1016/j.ymthe.2018.03.019,29699940,2018,Molecular Therapy,Wharton’s-jelly-derived (umbilical cord) mesenchymal stem cells,primary mouse neurons,htt,,,Y,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5986735/pdf/main.pdf
10.1186/s12951-018-0429-z,30572882,2018,Journal of Nanobiotechnology,BM-MSCs,HepG2,GRP78,65,,N,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-018-0429-z#Sec10
10.1002/jcp.28704,31012118,2019,Journal of Cellular Physiology,SH‐SY5Y ,SH‐SY5Y,HSP27 mRNA,53.3,,N,,,,https://onlinelibrary.wiley.com/doi/full/10.1002/jcp.28704
10.2147/IJN.S231214,32308384,2020,International Journal of Nanomedicine,HEK 293T,SGC7901; SGC7901/DDP,c-Met,68.4; 49.08,,N,,,,https://www.dovepress.com/exosome-delivered-c-met-sirna-could-reverse-chemoresistance-to-cisplat-peer-reviewed-fulltext-article-IJN
10.1038/s41565-017-0012-z,29230043,2018,Nature Nanotechnology,HEK293T,LNCAP cells; PC3 cells,survivin,,,N,,,,https://www.nature.com/articles/s41565-017-0012-z
10.1016/j.jconrel.2019.12.032,31866504,2020,Journal of Controlled Release,SKOV3 cells,SKOV3 cells; PC3; HCT-116; Saos-2,Luciferase,89.22; 70.37; 57.39; 64.93; 72.5; 65.35; 50.69; 54.87; 82.67; 70.1; 58.62; 57.43; 42.78; 33.67; 21.39; 26.94,,N,,,,https://www.sciencedirect.com/science/article/pii/S0168365919307515?via%3Dihub
10.1186/s41544-019-0034-9,,2019,ExRNA,HEK293T,A549 cells,KRAS,,,N,,,,https://exrna.biomedcentral.com/articles/10.1186/s41544-019-0034-9
10.1016/j.ymthe.2017.03.021,28392161,2017,Molecular Therapy,N2A,HEK 293,Human antigen R (HuR),54.2,600 nM,Y,"100, 200, 300, 400, 600nM",,,https://www.sciencedirect.com/science/article/pii/S152500161730120X?via%3Dihub
10.1002/adfm.201601430,,2016,Advanced Functional Materials,HEK293 ,GFP-HelA; hADSC; hNSC; hPSCs; hADSCs,EGFP; GADPH; GAPDH; GNAS; REST,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977605562&doi=10.1002%2fadfm.201601430&partnerID=40&md5=6a578afb17062392ef65abcb462d89c5
10.1007/s12195-016-0457-4,27800035,2016,Cellular and Molecular Bioengineering,HEK293T,HEK293T; MCF-7,GAPDH; HER2,,20nM,Y,"0,5,10,20nM",,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5084850/pdf/nihms801555.pdf
10.7314/APJCP.2015.16.10.4203,26028073,2015,Asian Pacific Journal of Cancer Prevention,U937 macrophage,BGC-823,miR-21,,,N,,,,https://journal.waocp.org/article_31067_4df3be502a61a11b5a5df8f124935772.pdf
10.1186/1478-811X-11-88,24245560,2013,Cell Communication and Signaling,Hela,Hela,RAD-51,41.3,,N,,,,https://biosignaling.biomedcentral.com/articles/10.1186/1478-811X-11-88
10.7150/thno.17092,28435469,2017,Theranostics,HEK293T,LAMA84; K562; K562R,BCR-ABL,,1 ug/ul,N,,,,https://www.thno.org/v07p1333.pdf
10.1007/s10753-016-0494-0,28000095,2017,Inflammation,IPSC,HMVEC,ICAM-1,56.3,,N,,,,https://link.springer.com/article/10.1007/s10753-016-0494-0
10.1038/mt.2016.126,27506293,2016,Molecular Therapy,U87 glioblastoma,primary cortical neurons,Huntingtin protein,68,,Y,3 to 100 (10^8 particles/well),,,https://www.sciencedirect.com/science/article/pii/S1525001616454110
10.1016/j.urology.2016.01.028,26876462,2016,Urology,HEK293 ,UMUC3,PLK-1,,,N,,,,https://pdf.sciencedirectassets.com/271959/1-s2.0-S0090429516X00052/1-s2.0-S0090429516001102/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEBsaCXVzLWVhc3QtMSJHMEUCIQCVLmGBIkgNmGdKMcUaUW76fz21bi1U2XgjxHJsC0%2BRnwIgfMdcK7X2U3hkAbRv3FbDC2zmfOYAckCUvQUUyuCYMHAqsgUINBAFGgwwNTkwMDM1NDY4NjUiDK4UxiC73Zi51Rlx3yqPBQ3gCeGvfMz7Jizf60KhU8EvDoGeGWwr3dhvnrvqJ%2FAr6zBQtaJrzCA8qP9Dnd6iyjRsuhWluVqhe1vihyRdVe011R4Kssew85r0qyLEYhJJDv64SoRg3OvuHk0G5FKPa4%2Fm1gOZVyE8BghFTk7yoUHBrM3NRu2lQp5bDAi9hogl2UrVJm0GwL1D8krBzyrzALE1G1AlyBfFz9g%2Bjq4o9ugdacaIP%2FvFpoItjXs1M89dzRDBBNfhEYCF834cjh7pWvElCKYtFvJOGzWxfBRFR7VvNt5pLrMpOnzSzQdmVHaWcGDsbZOIPbrjfI%2F8jjVRCCYUsO4Q7mq14QstjcDVNvDfcf%2BC%2FONz4DUZK0pJmEiAsfZBhWzfOD%2FfW4kmR82CZHU750n9WOzfyB38R1Xovl88I6hqYOEF3oy0xcvyOXd4Wuy202yDQmezYpJlUFEUPyNqG911yIKo7gCW1fYJPVEdpTRaHeOQplRdK03tct93m2NuQtK%2BMhu55HuZo6lElxdCDP%2BCXueGKzxMQEjHpGtN7mrFE4PO53GP8u1c7yVlHT5NlhIOj9ttAa3Y%2F6RQUsZxNpALrCmHm3ncVwAypIkCD0lBFoIlq0HayPtjdQzRDwLZnBbW%2BYJyS3JZaYXxK59kyVG6oE2EPEGCDYe7BePs%2B6S%2F1p1kc1A8wY0ZKYRVBWbrstPuv4d0iQyRotj8bS2qfJZRx2f3ssgK371tWqY7SwL91Zm8RKlLD4qO9V7wTm4r7otvXRWvQ9K2eUjfVwS7mi%2FAMLBa9KmDWNT%2BWRk40eG17m9B5vnxbczdP7CthqFyV4IchgNxUnVDNiv1X29rUvK8YBrgm7RZ8kL%2BorvSONTG42jmf%2FnY%2Fev21d4wk6KmqQY6sQEKem9NLv63nCLU4SmxaG3f1dM05db6HIZkJtPs3IIFu9BJX1asXSlq0o88xclcydV93VOlDOYMO0W%2BOLJreQjxktlD3x5Gldi69fVnvUKrLlAhysV0o9BHHkODbLGh6IE0E2Klb1siOx2golwa%2F258%2FWaCXS2FvwnDksMAJRrQfr5yCfdyL56yHONfz2eG%2F6oT7jopJYIQRGwC%2B2hHIeU8F7bDUX6SqeKV7Z6hshC%2F%2F9M%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231013T194203Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYRNHF3CMI%2F20231013%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=fc76e3c28647c4bad1badefb3f1960dea7a03b7ef5e133d66e438d688d131f0e&hash=d1eb03682c0d0aacecdfffd215c5b6d3cea1941abcd32a7d321d31af0c29f41f&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0090429516001102&tid=spdf-c017e3ec-823a-4704-b67f-3f84a46a679d&sid=9d8c5a405664f34fad3bbf518038a465b722gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0f165c525a055e53515c&rr=815a1049cf540f81&cc=us
10.7150/thno.16532,28435471,2017,Theranostics,dendritic cells,MDA-MB-231 cells,VEGF,,,N,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5399599/pdf/thnov07p1360.pdf
10.1038/srep17543,26633001,2015,Scientific Reports,HEK-293,N2A,MOR,27,,N,,,,https://www.nature.com/articles/srep17543#Sec28
10.1093/nar/gks463,22618874,2012,Nucleic Acids Research,Plasma Exo,Monocytes (PBMC); Lymphocytes (PBMC),MAPK-1; MAPK-2,32.7; 28.23,,N,,,,https://academic.oup.com/nar/article/40/17/e130/2411174?login=true
10.1002/mds.25978,25112864,2014,Movement Disorders,DC-RVG(mod),SH-SY5Y,alpha-synuclein,85.75,,N,,,,https://movementdisorders.onlinelibrary.wiley.com/doi/full/10.1002/mds.25978
10.1208/s12248-016-0015-y,27882487,2017,AAPS Journal,bEND.3,UG-87MG,VEFG,25,,N,,,,https://link.springer.com/article/10.1208/s12248-016-0015-y#Sec2
10.1016/j.jconrel.2016.10.008,27742443,2016,Journal of Controlled Release,MCF-10A,MCF-7,CDK4,,,N,,,,https://pdf.sciencedirectassets.com/271103/1-s2.0-S0168365916X0020X/1-s2.0-S0168365916306526/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEBwaCXVzLWVhc3QtMSJIMEYCIQDjgWrFbfwczW06SnMtC2M6RGgb1LJZev6AffKGeJzDhgIhAMuusu1juXN2xTfRESFx08TdBl1BjhsIXUC1d9xr8XjCKrIFCDUQBRoMMDU5MDAzNTQ2ODY1IgwrSecThFRWYsb96ZkqjwWaesYEScIjETcJOkxW6mXS5CxRyec%2F1mOmhq43VV6Fv%2BC9pKMKZ%2BRPnDKOiKxYoMSdGuBmjMOr3Krkuf1DUXBQBr6evComeYb%2BQnW%2BE69I%2BcwzCpULd6TU24VVgQjJoz2IofO0HFy6NM57u0zINmd%2B93x6PqaksKzTCXTPbBKCy6Z18Tas92qTOt5ucN%2BoUcpruyikwfu3IhrBI5vbcqsRgJLMornWWYOBb06CWl4uFIhDu%2BkQpLdQvnEZczoYqjcKTwnaW6%2BT%2BH81qdUo%2FpuSlhU5CfyoJHTHjd1hwDXYyOKhcHwkAxGnysFkCxd39m8zsovP0lWc51pCD82zWd2Yt%2FkpJUl59pnClTOWHfV7BUw5rHqTH%2BJG4pghWzriN2WghMnedKAD39snhHyUfTOpQLsO3c%2Fr%2Bu%2BfwpD339wyV0801WbU4mSt8veMICFdWMZALTIUbeE9bAw0EYyo%2Bxn%2F9zxSsZqVBPB2s5uNtC3WjyhYA23nM2m2U5Pdulfn%2FP4vO6CBf7oLyeypWPoYe5T%2FwZBfWdH3a7zZKI5b6OzTE%2BKk8SVOl2te7JrKwF%2BLPq5xbxfMTe7DE8PyteRSoZP%2BVc%2BEVGsBcVvwo4E9J%2FzGCjUlq9An1qIDityOn6kKLs4xLAG4Qblncry8ffq8ISs0ubXeAx7TJXl%2B7ylnIyBzyCiI0W9%2BPWiDuR49eq1%2F7IGJ%2FYIy9udWUd%2BsW1JrzWAi4K0VcKRqOnOC9Wr%2B5qvNWYSUFvLnOsC4oomZOLcBmoYDQqP%2F282DpzfaliBg5SWvrRXNuKwxtVilmvVg6HoqgrWyC11Mwb8a6FQ8c1c2ixgrR8u5Hd6u6il6cJk%2FxD9wkXP6Lb6g9ac6bhSW8rbZMMyzpqkGOrABRcoxE8TTZnRaxo2RxoHITBOTZhtLyiekDLjC6Er1oTwcT0m0jGoPn%2F4wZSs6cpsBsD4dN5C3FYQSmEPX5roiSK8nH7I%2FlqcHCx258SDh6jssmFra7g70oEejVl0QN0ASdVmxXzVcbVh0K9mOERMUgsaZGtRBgnkcLm4nTNiqI1%2Fk3LZrByG59Q7hslXtqNAv7pKY3JSBQoSsg9jEgz7TNzbFHhEUbcIY3LLZ0Pev02k%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231013T195112Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY7NYDKE56%2F20231013%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=327b4b9468ba9c5ecf61e838488a5027a58b98d0c1d269c01d69127954147c86&hash=9f02a7b6071d008b7534a29f8214080c7e959a9cc9513ee206fa55d3b380a032&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0168365916306526&tid=spdf-d1ac5c12-0df6-4bd3-9c53-72342d13066a&sid=9d8c5a405664f34fad3bbf518038a465b722gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0f165c525a055e070406&rr=815a1dac7ff4c466&cc=us
https://doi.org/10.1016/j.bioactmat.2021.09.015,,2022,Bioactive Materials,MSC,osteoblasts,Runx2; Osterix; OCN; OPN; c-Fos; NFATc1,,,N,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8636739/pdf/main.pdf
https://doi.org/10.1016/j.canlet.2022.215781,,2022,Cancer Letters,HEK293T,MDA-MB-231 cells,DARS-AS1,,200 pmol,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104572809&doi=10.1016%2fj.cej.2021.129774&partnerID=40&md5=41569339dcb6582bcb9ae97d2b75ff03
https://doi.org/10.1039/D1NR06922E,,2022,Nanoscale,immortalized bone marrow-derived macrophages,iBMDMs,Ccr2; Ccr5; Cx3cr1,,,N,,,,https://pubs.rsc.org/en/content/articlepdf/2022/nr/d1nr06922e
https://doi.org/10.3389/fonc.2022.898156,,2022,Frontiers in Oncology,HEK293T,sorafenib-resistant HepG-2 cells,MDA,,,N,,,,https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.898156/full
